r_over_a,exact,L_2,L_4,L_8,L_16,L_32
0.1027254509018036,1.1675566098415135,1.1653893299200588,1.1676505986500694,1.1675568104225815,1.167556609842627,1.1675566098415142
0.10464929859719439,1.1655712565994638,1.1632406575075347,1.1656761412769365,1.1655714976596816,1.1655712566010157,1.1655712565994643
0.10657314629258517,1.163554891240266,1.161052117960955,1.1636716945572416,1.1635551799627717,1.1635548912424158,1.1635548912402662
0.10849699398797595,1.1615078063325701,1.1588237112803201,1.1616376249904337,1.1615081510060117,1.161507806335531,1.1615078063325701
0.11042084168336673,1.1594302973652906,1.15655543746563,1.1595743057522325,1.1594307075287078,1.1594302973693462,1.1594302973652912
0.11234468937875751,1.157322662640818,1.1542472965168844,1.157482116694628,1.157323149244282,1.1573226626463415,1.1573226626408182
0.11426853707414829,1.1551852031681626,1.1518992884340833,1.1553614443458815,1.155185778750545,1.1551852031756464,1.1551852031681626
0.11619238476953908,1.1530182225560925,1.149511413217227,1.153212681910525,1.1530189014414136,1.1530182225661796,1.153018222556092
0.11811623246492986,1.1508220269063276,1.1470836708663155,1.1510362292693614,1.150822825420241,1.1508220269198575,1.1508220269063278
0.12004008016032064,1.1485969247068661,1.1446160613813485,1.1488324929794638,1.1485978614149177,1.1485969247249261,1.1485969247068664
0.12196392785571142,1.1463432267254943,1.1421085847623262,1.146601886274177,1.1463443226949073,1.1463432267494893,1.1463432267254945
0.1238877755511022,1.1440612459035502,1.1395612410092486,1.1443448290631155,1.144062524990381,1.144061245935287,1.1440612459035502
0.12581162324649298,1.1417512972500004,1.1369740301221156,1.1420617479321657,1.141752786413627,1.1417512972917943,1.1417512972500006
0.12773547094188376,1.1394136977358897,1.1343469521009273,1.1397530761434844,1.1394154273828963,1.139413697790695,1.13941369773589
0.12965931863727453,1.1370487661892252,1.1316800069456838,1.1374192536354988,1.1370507705488695,1.1370487662607982,1.1370487661892255
0.1315831663326653,1.1346568231903476,1.1289731946563848,1.1350607270229072,1.1346591407239186,1.1346568232834455,1.1346568231903482
0.1335070140280561,1.1322381909678492,1.1262265152330304,1.1326779495966788,1.1322408648143394,1.1322381910884771,1.1322381909678496
0.13543086172344687,1.1297931932950944,1.1234399686756207,1.1302713813240532,1.129796271755745,1.1297931934508054,1.1297931932950944
0.13735470941883765,1.1273221553873927,1.1206135549841558,1.1278414888485417,1.1273256924518011,1.1273221555876574,1.127322155387393
