theta_over_pi,sigma_b_0p25,sigma_b_0p45,sigma_b_0p65,sigma_b_0p8
0.22746781115879827,-0.13164097566025812,-0.16794173075696478,-0.15716398385989075,-0.10108981460364466
0.228898426323319,-0.13121640132914714,-0.16666896379629922,-0.15513191998142128,-0.0994517315435632
0.23032904148783975,-0.13079193673036066,-0.16540576486574146,-0.1531331460992683,-0.09784931996848188
0.23175965665236048,-0.13036760825040347,-0.16415212071666835,-0.1511670576980407,-0.09628163298601984
0.23319027181688123,-0.12994344195089408,-0.16290801599812693,-0.14923306106810552,-0.09474775295446289
0.23462088698140196,-0.12951946356825977,-0.16167343332688008,-0.14733057316804926,-0.09324679046549919
0.23605150214592271,-0.12909569851352912,-0.16044835335614882,-0.14545902148485762,-0.09177788336573393
0.2374821173104435,-0.12867217187221971,-0.15923275484305158,-0.14361784389214804,-0.09034019581540241
0.23891273247496422,-0.12824890840431966,-0.158026614714738,-0.1418064885067666,-0.08893291738276894
0.24034334763948498,-0.12782593254436056,-0.1568299081332198,-0.14002441354403877,-0.08755526217276077
0.2417739628040057,-0.1274032684015805,-0.1556426085588996,-0.13827108717194878,-0.08620646798845215
0.24320457796852646,-0.126980939760175,-0.1544646878128027,-0.13654598736449752,-0.08488579552406571
0.24463519313304719,-0.12655897007963365,-0.15329611613751395,-0.13484860175447744,-0.08359252758822174
0.24606580829756794,-0.12613738249516174,-0.15213686225682915,-0.13317842748588346,-0.08232596835621384
0.24749642346208867,-0.12571619981818352,-0.1509868934341239,-0.1315349710661633,-0.08108544265014483
0.24892703862660942,-0.12529544453692612,-0.14984617552945023,-0.12991774821849789,-0.07987029524580432
0.2503576537911302,-0.12487513881708251,-0.14871467305536967,-0.12832628373428678,-0.07867989020521689
0.2517882689556509,-0.1244553045025506,-0.14759234923153017,-0.12676011132600118,-0.07751361023383552
0.2532188841201717,-0.12403596311624765,-0.14647916603800007,-0.12521877348055485,-0.07637085606139679
0.2546494992846924,-0.12361713586099767,-0.14537508426736806,-0.12370182131333168,-0.07525104584549809
0.25608011444921314,-0.12319884362048966,-0.14428006357562267,-0.12220881442299726,-0.0741536145969936
0.2575107296137339,-0.12278110696030611,-0.14319406253182168,-0.12073932074721158,-0.07307801362634665
0.25894134477825465,-0.12236394612901788,-0.14211703866656686,-0.11929291641935066,-0.07202371001010972
0.26037195994277534,-0.12194738105934592,-0.1410489485192961,-0.1178691856263355,-0.07099018607674015
0.2618025751072961,-0.12153143136938604,-0.13998974768440728,-0.11646772046765763,-0.06997693891099145
0.26323319027181685,-0.12111611636389652,-0.13893939085622908,-0.11508812081568325,-0.06898347987615158
0.2646638054363376,-0.12070145503564558,-0.13789783187285296,-0.11372999417730943,-0.06800933415343158
0.2660944206008583,-0.12028746606681782,-0.1368650237588423,-0.11239295555704047,-0.06705404029783504
0.2675250357653791,-0.11987416783047723,-0.135840918766834,-0.1110766273215423,-0.06611714980986799
0.26895565092989987,-0.11946157839208547,-0.13482546841804902,-0.10978063906573135,-0.06519822672247454
0.27038626609442057,-0.11904971551107349,-0.13381862354172744,-0.10850462748044318,-0.0642968472026092
0.2718168812589413,-0.11863859664246493,-0.1328203343135054,-0.10724823622172568,-0.0634125991668824
0.2732474964234621,-0.1182282389385492,-0.13183055029275015,-0.10601111578179219,-0.06254508191073611
0.27467811158798283,-0.1178186592506034,-0.13084922045887,-0.10479292336166758,-0.061693905750632085
0.27610872675250353,-0.11740987413066047,-0.12987629324661712,-0.1035933227455554,-0.06085869167875412
0.2775393419170243,-0.11700189983332249,-0.128911716580399,-0.1024119841769493,-0.06003907102974701
0.27896995708154504,-0.11659475231761765,-0.12795543790761676,-0.10124858423650825,-0.059234685159034864
0.2804005722460658,-0.1161884472488985,-0.12700740423104803,-0.10010280572171222,-0.058445185132278844
0.2818311874105865,-0.11578300000078112,-0.12606756214029025,-0.09897433752831007,-0.05767023142555369
0.2832618025751073,-0.11537842565712235,-0.12513585784228368,-0.09786287453356958,-0.05690949363583822
0.284692417739628,-0.1149747390140346,-0.12421223719092983,-0.09676811748133596,-0.05616265020143267
0.28612303290414876,-0.11457195458193595,-0.12329664571582412,-0.09568977286890214,-0.0554293881319297
0.2875536480686695,-0.11417008658763486,-0.12238902865011912,-0.0946275528356928,-0.054709402747383104
0.28898426323319026,-0.11376914897644688,-0.12148933095753603,-0.09358117505375985,-0.05400239742633021
0.29041487839771096,-0.11336915541434307,-0.12059749735854221,-0.09255036262008698,-0.053308083362340074
0.2918454935622317,-0.11297011929012811,-0.11971347235571037,-0.09153484395069715,-0.05262617932877043
0.29327610872675247,-0.11257205371764656,-0.11883720025827836,-0.09053435267655618,-0.051956411451431095
0.2947067238912732,-0.11217497153801625,-0.11796862520592542,-0.08954862754126325,-0.051298512988862024
0.2961373390557939,-0.1117788853218873,-0.11710769119178144,-0.08857741230051795,-0.050652224119946694
0.29756795422031473,-0.11138380737172535,-0.11625434208468693,-0.08762045562335193,-0.050017291738592
0.2989985693848355,-0.11098974972411771,-0.11540852165071949,-0.08667751099511153,-0.04939346925521704
0.3004291845493562,-0.11059672415210117,-0.11457017357400318,-0.0857483366221775,-0.04878051640480267
0.30185979971387694,-0.11020474216751036,-0.1137392414768175,-0.08483269533840572,-0.04817819906126399
0.3032904148783977,-0.10981381502334495,-0.11291566893902141,-0.0839303545132729,-0.04758628905791709
0.30472103004291845,-0.10942395371615486,-0.11209939951680878,-0.08304108596170924,-0.0470045640138201
0.30615164520743915,-0.10903516898844233,-0.11129037676081067,-0.08216466585560048,-0.0464328071657776
0.3075822603719599,-0.10864747133107924,-0.11048854423355982,-0.08130087463693984,-0.04587080720580516
0.30901287553648066,-0.108260870985739,-0.10969384552633281,-0.08044949693261065,-0.0453183581238591
0.3104434907010014,-0.10787537794734144,-0.10890622427538514,-0.07961032147077937,-0.04477525905564375
0.3118741058655221,-0.10749100196650997,-0.10812562417759362,-0.07878314099887838,-0.044241314135316186
0.3133047210300429,-0.10710775255203983,-0.10735198900552112,-0.0779677522031575,-0.043716332352914465
0.3147353361945637,-0.10672563897337607,-0.10658526262191785,-0.07716395562978298,-0.04320012741634355
0.3161659513590844,-0.10634467026310059,-0.1058253889936736,-0.0763715556074617,-0.04269251761775744
0.31759656652360513,-0.1059648552194269,-0.10507231220523462,-0.07559036017156912,-0.042193325704184347
0.3190271816881258,-0.10558620240870212,-0.10432597647149959,-0.07482018098975866,-0.041702378752245806
0.3204577968526466,-0.10520872016791448,-0.10358632615020692,-0.07406083328902972,-0.0412195080468274
0.3218884120171674,-0.1048324166072061,-0.1028533057538281,-0.07331213578423224,-0.040744548963563526
0.32331902718168815,-0.1044572996123897,-0.10212685996097966,-0.07257391060798507,-0.0402773408550043
0.32474964234620884,-0.10408337684746828,-0.10140693362736548,-0.07184598324198527,-0.03981772694033695
0.3261802575107296,-0.10371065575715727,-0.10069347179626441,-0.07112818244968605,-0.039365554198540084
0.32761087267525035,-0.1033391435694081,-0.09998641970857292,-0.07042034021032016,-0.038920673264852094
0.3290414878397711,-0.10296884729793195,-0.09928572281241708,-0.06972229165424675,-0.03848293833044103
0.3304721030042918,-0.10259977374472365,-0.09859132677234453,-0.06903387499959832,-0.038052207045166236
0.33190271816881256,-0.10223192950258428,-0.09790317747810845,-0.06835493149020609,-0.03762834042332686
0.3333333333333333,-0.10186532095764174,-0.09722122105305513,-0.06768530533478075,-0.03721120275229589
0.33476394849785407,-0.10149995429186928,-0.0965454038621261,-0.06702484364732672,-0.03680066150394206
0.33619456366237477,-0.10113583548559996,-0.09587567251948631,-0.06637339638876784,-0.036396587248746004
0.3376251788268955,-0.1007729703200375,-0.09521197389578814,-0.06573081630976221,-0.035998853572519786
0.3390557939914163,-0.10041136437976245,-0.09455425512508281,-0.06509695889468488,-0.035607336995642884
0.34048640915593703,-0.10005102305523249,-0.09390246361138925,-0.06447168230675668,-0.035221916894730476
0.34191702432045773,-0.09969195154527707,-0.09325654703492973,-0.06385484733429761,-0.03484247542665322
0.3433476394849785,-0.09933415485958512,-0.09261645335804353,-0.06324631733808404,-0.03446889745483028
0.34477825464949924,-0.09897763782118552,-0.0919821308307868,-0.06264595819978874,-0.03410107047772069
0.34620886981402,-0.09862240506891935,-0.09135352799622928,-0.06205363827148287,-0.03373888455944031
0.3476394849785407,-0.09826846105990436,-0.09073059369545648,-0.06146922832617975,-0.03338223226243466
0.34907010014306145,-0.09791581007198939,-0.09011327707228627,-0.060892601509400415,-0.033031008582140246
0.3505007153075822,-0.09756445620619993,-0.08950152757770918,-0.06032363329174065,-0.03268511088356924
0.351931330472103,-0.09721440338917323,-0.08889529497406051,-0.05976220142242018,-0.03234443883975512
0.35336194563662376,-0.09686565537558299,-0.08829452933893306,-0.05920818588379493,-0.03200889437199877
0.35479256080114446,-0.09651821575055261,-0.0876991810688382,-0.05866146884681249,-0.03167838159185644
0.3562231759656652,-0.09617208793205709,-0.08710920088262392,-0.05812193462739297,-0.031352806744813944
0.35765379113018597,-0.0958272751733129,-0.08652453982465708,-0.05758946964371611,-0.03103207815559231
0.3590844062947067,-0.0954837805651552,-0.08594514926777795,-0.05706396237439671,-0.030716106175032815
0.3605150214592274,-0.09514160703840242,-0.08537098091603415,-0.056545303317530195,-0.030404803128510845
0.3619456366237482,-0.09480075736620723,-0.08480198680720133,-0.05603338495059113,-0.03009808326582986
0.36337625178826893,-0.09446123416639418,-0.08423811931509798,-0.05552810169116679,-0.029795862712548332
0.3648068669527897,-0.09412303990378293,-0.08367933115170051,-0.05502934985850921,-0.029498059422694407
0.3662374821173104,-0.09378617689249731,-0.08312557536906631,-0.05453702763588859,-0.029204593132824256
0.36766809728183114,-0.09345064729825965,-0.08257680536107058,-0.05405103503373181,-0.028915385317382015
0.3690987124463519,-0.09311645314066973,-0.08203297486496343,-0.05357127385352968,-0.028630359145320233
0.37052932761087265,-0.09278359629546877,-0.08149403796275394,-0.0530976476524971,-0.028349439437941548
0.37195994277539335,-0.09245207849678741,-0.0809599490824266,-0.05263006170897062,-0.028072552627923315
0.3733905579399141,-0.09212190133937781,-0.08043066299899634,-0.05216842298852769,-0.02779962671948854
0.37482117310443486,-0.09179306628082957,-0.07990613483540814,-0.05171264011081301,-0.027530591249687413
0.3762517882689556,-0.09146557464376916,-0.07938632006328603,-0.0512626233170568,-0.02726537725075523
0.3776824034334763,-0.09113942761804249,-0.07887117450353784,-0.050818284438270786,-0.02700391721351331
0.37911301859799706,-0.0908146262628806,-0.07836065432682031,-0.050379536864107274,-0.026746145051781144
0.3805436337625178,-0.09049117150904822,-0.07785471605387001,-0.049946295512367865,-0.026491996067768482
0.38197424892703863,-0.09016906416097482,-0.07735331655570493,-0.0495184767991476,-0.02624140691841757
0.3834048640915594,-0.08984830489886814,-0.0768564130537018,-0.04909599860960151,-0.02599431558266663
0.3848354792560801,-0.08952889428081,-0.07636396311955355,-0.048678780269320064,-0.025750661329606347
0.38626609442060084,-0.08921083274483406,-0.07587592467511182,-0.048266742516300844,-0.02551038468750272
0.3876967095851216,-0.08889412061098552,-0.0753922559921188,-0.047859807473503664,-0.025273427413659726
0.38912732474964234,-0.08857875808336274,-0.07491291569183278,-0.04745789862197678,-0.02503973246509676
0.39055793991416304,-0.08826474525214024,-0.07443786274455168,-0.047060940774541954,-0.02480924397001627
0.3919885550786838,-0.08795208209557331,-0.07396705646903846,-0.04666886005002659,-0.024581907200038014
0.39341917024320455,-0.08764076848198409,-0.0735004565318528,-0.04628158384803105,-0.024357668543176978
0.3948497854077253,-0.08733080417172867,-0.07303802294659231,-0.04589904082421998,-0.024136475477542975
0.396280400572246,-0.0870221888191457,-0.07257971607304753,-0.04552116086612625,-0.023918276545740292
0.39771101573676676,-0.08671492197448569,-0.07212549661627417,-0.045147875069456486,-0.023703021329946918
0.3991416309012875,-0.0864090030858218,-0.07167532562558611,-0.04477911571488781,-0.023490660427653135
0.40057224606580827,-0.08610443150094109,-0.07122916449347241,-0.04441481624534464,-0.023281145428040214
0.40200286123032897,-0.08580120646921696,-0.07078697495444213,-0.04405491124374594,-0.02307442888898028
0.4034334763948497,-0.08549932714346238,-0.07034871908379964,-0.04369933641121228,-0.022870464314639443
0.4048640915593705,-0.08519879258176377,-0.06991435929635388,-0.043348028545723075,-0.02266920613366632
0.40629470672389123,-0.08489960174929567,-0.06948385834506444,-0.043000925521214366,-0.022470609677949137
0.40772532188841193,-0.08460175352011635,-0.0690571793196276,-0.04265796626710749,-0.02227463116192493
0.4091559370529327,-0.08430524667894375,-0.06863428564500476,-0.04231909074825954,-0.022081227662424725
0.41058655221745344,-0.0840100799229124,-0.0682151410798966,-0.04198423994532657,-0.02189035709903943
0.41201716738197425,-0.08371625186331093,-0.06779970971516504,-0.04165335583553026,-0.02170197821499141
0.413447782546495,-0.08342376102730024,-0.06738795597220607,-0.0413263813738202,-0.02151605055849731
0.41487839771101576,-0.08313260585961237,-0.06697984460127558,-0.04100326047442219,-0.02133253446460792
0.41630901287553645,-0.08284278472423003,-0.066575340679771,-0.04068393799276518,-0.021151391037511773
0.4177396280400572,-0.08255429590604703,-0.06617440961047062,-0.04036835970777826,-0.020972582133289064
0.41917024320457796,-0.0822671376125092,-0.06577701711973336,-0.040056472304549694,-0.0207960703431033
0.4206008583690987,-0.0819813079752364,-0.06538312925566073,-0.039748223357340476,-0.020621818976818192
0.4220314735336194,-0.08169680505162498,-0.0649927123862236,-0.03944356131294445,-0.020449792047027928
0.42346208869814017,-0.08141362682643156,-0.06460573319735528,-0.039142435474387956,-0.020279954253489125
0.4248927038626609,-0.08113177121333727,-0.06422215869101333,-0.03884479598496115,-0.020112270967943314
0.4263233190271817,-0.0808512360564933,-0.06384195618321185,-0.038550593812574405,-0.019946708219318963
0.4277539341917024,-0.0805720191320473,-0.06346509330202613,-0.0382597807344325,-0.01978323267930254
0.42918454935622313,-0.08029411814965096,-0.06309153798557143,-0.03797230932201973,-0.019621811648268275
0.4306151645207439,-0.08001753075394871,-0.06272125847995776,-0.03768813292638956,-0.01946241304155688
0.43204577968526464,-0.07974225452604769,-0.06235422333722192,-0.03740720566375192,-0.019305005376093334
0.43347639484978534,-0.07946828698496897,-0.06199040141323913,-0.037129482401351915,-0.019149557757334675
0.4349070100143061,-0.07919562558908029,-0.06162976186561517,-0.03685491874363386,-0.018996039866538496
0.43633762517882685,-0.0789242677375101,-0.06127227415156075,-0.03658347101868417,-0.018844421948343525
0.4377682403433476,-0.07865421077154337,-0.06091790802574971,-0.036315096264947375,-0.01869467479865374
0.4391988555078683,-0.07838545197599893,-0.06056663353816223,-0.036049752218209434,-0.018546769752817677
0.44062947067238906,-0.07811798858058856,-0.060218421031914535,-0.03578739729884241,-0.018400678674095065
0.4420600858369098,-0.07785181776125814,-0.05987324114107647,-0.03552799059930511,-0.018256373942402825
0.4434907010014306,-0.07758693664151042,-0.05953106478847783,-0.03527149187189416,-0.018113828443333077
0.4449213161659514,-0.07732334229371024,-0.05919186318350534,-0.03501786151674017,-0.017973015557435724
0.4463519313304721,-0.07706103174037159,-0.05885560781989062,-0.03476706057004357,-0.01783390914975846
0.44778254649499283,-0.07680000195542724,-0.05852227047349097,-0.034519050692545454,-0.017696483559637512
0.4492131616595136,-0.07654024986548062,-0.05819182320006361,-0.03427379415822789,-0.01756071359073221
0.45064377682403434,-0.0762817723510402,-0.057864238333034716,-0.034031253843239205,-0.017426574501296963
0.45207439198855504,-0.07602456624773664,-0.057539488481264,-0.03379139321503917,-0.017294041994684428
0.4535050071530758,-0.07576862834752268,-0.05721754652680596,-0.03355417632175976,-0.0171630922100736
0.45493562231759654,-0.07551395539985575,-0.05689838562266866,-0.0333195677817764,-0.017033701713416994
0.4563662374821173,-0.07526054411286387,-0.056581979190571015,-0.03308753277348577,-0.016905847488601102
0.457796852646638,-0.07500839115449442,-0.05626830091869927,-0.0328580370252854,-0.016779506928814542
0.45922746781115875,-0.07475749315364644,-0.055957324759463765,-0.032631046805750956,-0.016654657828118424
0.4606580829756795,-0.07450784670128612,-0.0556490249272564,-0.03240652891400698,-0.016531278373213713
0.46208869814020026,-0.07425944835154595,-0.05534337589620993,-0.03218445067028696,-0.0164093471354004
0.46351931330472096,-0.07401229462280762,-0.05504035239795959,-0.03196477990667882,-0.016288843062723525
0.4649499284692417,-0.07376638199876841,-0.054739929419407904,-0.03174748495805185,-0.016169745472301187
0.46638054363376247,-0.07352170692949195,-0.05444208220049308,-0.03153253465316126,-0.016052034042829882
0.4678111587982832,-0.07327826583244279,-0.054146786231961945,-0.03131989830592657,-0.015935688807262562
0.4692417739628039,-0.0730360550935053,-0.05385401725314787,-0.03110954570688024,-0.01582069014565497
0.4706723891273247,-0.07279507106798688,-0.053563751249754314,-0.030901447114783008,-0.01570701877817596
0.47210300429184543,-0.07255531008160572,-0.05327596445164438,-0.030695573248402313,-0.015594655758277618
0.47353361945636624,-0.07231676843146329,-0.05299063333063733,-0.030491895278450375,-0.015483582466021075
0.474964234620887,-0.07207944238700147,-0.05270773459831207,-0.03029038481967878,-0.015373780601554062
0.4763948497854077,-0.07184332819094466,-0.05242724520381843,-0.030091013923126065,-0.015265232178736383
0.47782546494992845,-0.07160842206022723,-0.0521491423316966,-0.029893755068515184,-0.015157919518909543
0.4792560801144492,-0.0713747201869058,-0.05187340339970522,-0.029698581156797882,-0.01505182524480688
0.48068669527896996,-0.07114221873905706,-0.05160000605665833,-0.02950546550284254,-0.014946932274600717
0.48211731044349065,-0.0709109138616614,-0.05132892818027203,-0.02931438182826298,-0.014843223816083021
0.4835479256080114,-0.07068080167747176,-0.05106014787502066,-0.029125304254384823,-0.014740683360976297
0.48497854077253216,-0.07045187828786859,-0.05079364347000339,-0.028938207295346942,-0.014639294679371412
0.4864091559370529,-0.07022413977370065,-0.05052939351682118,-0.028753065851334907,-0.01453904181428922
0.4878397711015736,-0.06999758219611209,-0.05026737678746468,-0.02856985520194387,-0.014439909076362915
0.48927038626609437,-0.06977220159735557,-0.050007572272213266,-0.028388550999668118,-0.014341881038638085
0.4907010014306151,-0.06954799400159191,-0.04974995917754553,-0.028209129263514723,-0.014244942531487599
0.4921316165951359,-0.06932495541567639,-0.04949451692406156,-0.028031566372738684,-0.01414907863763847
0.4935622317596566,-0.06910308182993158,-0.04924122514441704,-0.027855839060697045,-0.014054274687307968
0.49499284692417733,-0.06888236921890713,-0.04899006368126989,-0.02768192440881964,-0.013960516253446284
0.4964234620886981,-0.06866281354212653,-0.04874101258523907,-0.02750979984069393,-0.013867789147083115
0.49785407725321884,-0.06844441074482112,-0.04849405211287633,-0.027339443116261672,-0.013776079412775704
0.49928469241773954,-0.06822715675865121,-0.04824916272465066,-0.0271708323261251,-0.013685373324155812
0.5007153075822603,-0.06801104750241475,-0.04800632508294606,-0.02700394588596034,-0.013595657379573214
0.502145922746781,-0.06779607888274376,-0.04776552005007229,-0.026838762531035964,-0.013506918297833426
0.5035765379113017,-0.06758224679478804,-0.04752672868628937,-0.026675261310834388,-0.013419143014027381
0.5050071530758226,-0.06736954712288729,-0.04728993224784541,-0.02651342158377417,-0.013332318675450752
0.5064377682403434,-0.06715797574123096,-0.0470551121850284,-0.026353223012031055,-0.013246432637610947
