theta_over_pi,exact,L_4,L_8,L_16,L_32
0.350584307178631,-0.0894659536972801,-0.0837792937735561,-0.08972579327175,-0.0894651566558532,-0.0894659536958996
0.352253756260434,-0.088759421600948,-0.0830070586700378,-0.0890061243651272,-0.0887586396508421,-0.0887594215991031
0.353923205342237,-0.0880603189573156,-0.0822475775829879,-0.0882933871650603,-0.0880595585254342,-0.0880603189550669
0.35559265442404,-0.0873685670993874,-0.0815007653381055,-0.0875875404703599,-0.0873678343790228,-0.0873685670968069
0.357262103505843,-0.0866840879602469,-0.080766533569382,-0.0868885444067331,-0.0866833888618852,-0.0866840879574163
0.358931552587646,-0.086006804079707,-0.0800447907809531,-0.0861963603379349,-0.0860061441846022,-0.0860068040767151
0.360601001669449,-0.0853366386103964,-0.0793354424098083,-0.0855109507759642,-0.0853360231272657,-0.085336638607336
0.362270450751252,-0.0846735153233024,-0.0786383908893294,-0.084832279290541,-0.0846729490484683,-0.0846735153202679
0.363939899833055,-0.0840173586127907,-0.0779535357136271,-0.0841603104180943,-0.0840168458940624,-0.0840173586098749
0.3656093489148581,-0.0833680935011237,-0.0772807735026498,-0.0834950095704917,-0.0833676382056795,-0.083368093498415
0.3672787979966611,-0.0827256456424957,-0.0766199980680307,-0.0828363429437331,-0.0827252511289905,-0.0827256456400754
0.3689482470784641,-0.0820899413266055,-0.0759711004796479,-0.0821842774268312,-0.0820896104216942,-0.0820899413245456
0.3706176961602671,-0.0814609074817838,-0.0753339691328636,-0.0815387805110957,-0.0814606424612116,-0.0814609074801444
0.3722871452420701,-0.0808384716776939,-0.0747084898164156,-0.0808998202000322,-0.0808382742520674,-0.0808384716765223
0.3739565943238731,-0.0802225621276236,-0.0740945457809281,-0.0802673649200653,-0.0802224334329366,-0.0802225621269521
0.3756260434056761,-0.0796131076903842,-0.0734920178080133,-0.0796413834322868,-0.079613048283335,-0.0796131076902297
0.3772954924874791,-0.0790100378718338,-0.0729007842799316,-0.0790218447454257,-0.0790100477299294,-0.0790100378721972
0.3789649415692821,-0.0784132828260407,-0.0723207212497809,-0.0784087180302323,-0.0784133613524458,-0.078413282826907
